,id,url,priority,page,fetched,price_currency,price_value,ad_id,posted_weekday,posted_time,posted_month,posted_day,posted_year,delivery_offered,price_negotiable,condition,year,make,model,current_location,import_duty_paid,mileage,transmission,four_wheel_drive,location,description
1544,1545,https://www.zoomtanzania.com/hatchbacks/2001-toyota-vitz-1179737?s=0257bb562272aa5d188ffc0406e1e933,silver,155,1,TSh,"5,800,000",1179737,Friday,03:42:00,November,02,2018,,No,Used,2001,Toyota,Vitz,In Tanzania,Yes,,Automatic,no,"Other Dar es Salaam District

Dar Es Salaam","Toyota vitz [CBH]
Year: 2001
Engene: vvti
Cc: 1290
Low mileage
Sport rims
Seat cover
Clean condition
Price: 5.8M"
1545,1546,https://www.zoomtanzania.com/sedans/2005-toyota-platz-1179734?s=0257bb562272aa5d188ffc0406e1e933,silver,155,1,TSh,"7,500,000",1179734,Monday,09:17:00,October,01,2018,,No,Used,2005,Toyota,Platz,In Tanzania,Yes,,Automatic,no,"Other Dar es Salaam District

Dar Es Salaam","Toyota Platz new model [DFT]
Year: 2005
Color: pearl white
Engene: vvti
Cc: 1490
Mileage: 76,000km
Very clean
Price.: 7.5M"
1546,1547,https://www.zoomtanzania.com/hatchbacks/2003-toyota-ist-1179730?s=0257bb562272aa5d188ffc0406e1e933,silver,155,1,TSh,"11,800,000",1179730,Monday,09:17:00,October,01,2018,,No,Used Abroad,2003,Toyota,IST,In Tanzania,Yes,,Automatic,no,"Other Dar es Salaam District

Dar Es Salaam","Toyota ist
Year: 2003
Cc: 1290
Color: black
Sport rims
Fog lights
Free registration
Price: 11.8M"
1547,1548,https://www.zoomtanzania.com/hatchbacks/2006-toyota-ist-1179726?s=0257bb562272aa5d188ffc0406e1e933,silver,155,1,TSh,"11,500,000",1179726,Monday,09:17:00,October,01,2018,,No,Used Abroad,2006,Toyota,IST,In Tanzania,Yes,,Automatic,no,"Other Dar es Salaam District

Dar Es Salaam","Toyota ist
Year: 2005
Cc: 1290
Mileage: 41,000km
Color: silver
Sport rims
Fog light
Price: 11.5M"
1548,1549,https://www.zoomtanzania.com/sedans/2004-toyota-crown-1179723?s=0257bb562272aa5d188ffc0406e1e933,silver,155,1,TSh,"14,800,000",1179723,Monday,09:17:00,October,01,2018,,No,Used,2004,Toyota,Crown,In Tanzania,Yes,,Automatic,no,"Other Dar es Salaam District

Dar Es Salaam","Toyota Crown Athlete [DND]
Year:2004
Cc: 2490
Mileage: 54,000
Automatic Transmission
Full option
Push to start
Wide screen
Rims
Reverse Camera
Colour: Pearl white
Very clean
Price: 14.8M"
1549,1550,https://www.zoomtanzania.com/hatchbacks/2006-toyota-ist-1179717?s=0257bb562272aa5d188ffc0406e1e933,silver,155,1,TSh,"11,700,000",1179717,Monday,09:17:00,October,01,2018,,No,Used Abroad,2006,Toyota,IST,In Tanzania,Yes,,Automatic,no,"Other Dar es Salaam District

Dar Es Salaam","Toyota ist
Year: 2006
Cc: 1290
Mileage: 64,000km
Color: Silver
Sensor door
Clean condition
Free registration
Price: 11.7M"
1550,1551,https://www.zoomtanzania.com/hatchbacks/2004-toyota-vitz-1179708?s=2a2bfccda03dcf5150c23d04693bb1d5,silver,156,1,TSh,"9,800,000",1179708,Monday,09:17:00,October,01,2018,,No,Used,2004,Toyota,Vitz,In Tanzania,Yes,,Automatic,no,"Other Dar es Salaam District

Dar Es Salaam","Toyota Vitz Rs
Milango 3
Year: 2004
Cc: 1290
Low mileage
Color: blue
Sport rims
Fog lights
Very clean condition
Free registration
Price: 9.8M"
1551,1552,https://www.zoomtanzania.com/hatchbacks/2005-toyota-ist-1179704?s=2a2bfccda03dcf5150c23d04693bb1d5,silver,156,1,TSh,"12,000,000",1179704,Monday,09:17:00,October,01,2018,,No,Used Abroad,2005,Toyota,IST,In Tanzania,Yes,,Automatic,no,"Other Dar es Salaam District

Dar Es Salaam","Toyota ist
Year: 2005
Cc: 1490
Mileage: 52,000
Color: light blue
Sport rims
Fog light
Sensor door
Clean condition
Free registration
Price: 12M"
1552,1553,https://www.zoomtanzania.com/sedans/2005-toyota-crown-1179701?s=2a2bfccda03dcf5150c23d04693bb1d5,silver,156,1,TSh,"14,000,000",1179701,Friday,03:42:00,November,02,2018,,No,Used,2005,Toyota,Crown,In Tanzania,Yes,,Automatic,no,"Other Dar es Salaam District

Dar Es Salaam","Toyota Crown Athlete [DME]
Year:2005
Cc: 2490
Mileage: 54,500km
Automatic Transmission
Full option
Push to start
Side mirror indicator
Wide screen
Rims
Reverse Camera
Colour: Pearl white
Very clean
Price: 14M"
1553,1554,https://www.zoomtanzania.com/hatchbacks/2006-toyota-ractis-1179699?s=2a2bfccda03dcf5150c23d04693bb1d5,silver,156,1,TSh,"9,800,000",1179699,Monday,09:02:00,October,01,2018,,No,Used,2006,Toyota,Ractis,In Tanzania,Yes,,Automatic,no,"Other Dar es Salaam District

Dar Es Salaam","Toyota Ractis [DNB]
Year: 2006
Cc: 1490
Color: Grey
Mileage: 54,000km
Push to start
Reverse Camera
Tv radio/ Usb
Sport rims
New tyres
Sensor door
Very Clean condition
Price: 9.8M"
